id,question,level,sql_code,train
F0001,Quais escolas de Fortaleza estão a até 5 km do centro do município?,Fácil,"SELECT e.nm_entidade
FROM escola e
JOIN municipio mu ON ST_Contains(mu.geometry, e.geometry)
WHERE mu.nm_mun = 'Fortaleza'
  AND ST_DWithin(e.geometry::geography, ST_Centroid(mu.geometry)::geography, 5000);",1
F0002,Quais escolas de João Pessoa estão a até 20 km do centro do município?,Fácil,"SELECT e.nm_entidade
FROM escola e
JOIN municipio mu ON ST_Contains(mu.geometry, e.geometry)
WHERE mu.nm_mun = 'João Pessoa'
  AND ST_DWithin(e.geometry::geography, ST_Centroid(mu.geometry)::geography, 20000);",1
F0003,Quais escolas de Uberlândia estão a até 20 km do centro do município?,Fácil,"SELECT e.nm_entidade
FROM escola e
JOIN municipio mu ON ST_Contains(mu.geometry, e.geometry)
WHERE mu.nm_mun = 'Uberlândia'
  AND ST_DWithin(e.geometry::geography, ST_Centroid(mu.geometry)::geography, 20000);",1
F0004,Quais escolas de Curitiba estão a até 3 km do centro do município?,Fácil,"SELECT e.nm_entidade
FROM escola e
JOIN municipio mu ON ST_Contains(mu.geometry, e.geometry)
WHERE mu.nm_mun = 'Curitiba'
  AND ST_DWithin(e.geometry::geography, ST_Centroid(mu.geometry)::geography, 3000);",1
F0005,Quais escolas de Florianópolis estão a até 6 km do centro do município?,Fácil,"SELECT e.nm_entidade
FROM escola e
JOIN municipio mu ON ST_Contains(mu.geometry, e.geometry)
WHERE mu.nm_mun = 'Florianópolis'
  AND ST_DWithin(e.geometry::geography, ST_Centroid(mu.geometry)::geography, 6000);",1
F0006,Quais escolas de Teresina estão a até 20 km do centro do município?,Fácil,"SELECT e.nm_entidade
FROM escola e
JOIN municipio mu ON ST_Contains(mu.geometry, e.geometry)
WHERE mu.nm_mun = 'Teresina'
  AND ST_DWithin(e.geometry::geography, ST_Centroid(mu.geometry)::geography, 20000);",1
F0007,Quais escolas de Belém estão a até 12 km do centro do município?,Fácil,"SELECT e.nm_entidade
FROM escola e
JOIN municipio mu ON ST_Contains(mu.geometry, e.geometry)
WHERE mu.nm_mun = 'Belém'
  AND ST_DWithin(e.geometry::geography, ST_Centroid(mu.geometry)::geography, 12000);",1
F0008,Quais escolas de São Luís estão a até 6 km do centro do município?,Fácil,"SELECT e.nm_entidade
FROM escola e
JOIN municipio mu ON ST_Contains(mu.geometry, e.geometry)
WHERE mu.nm_mun = 'São Luís'
  AND ST_DWithin(e.geometry::geography, ST_Centroid(mu.geometry)::geography, 6000);",1
F0009,Quais escolas de Rio de Janeiro estão a até 15 km do centro do município?,Fácil,"SELECT e.nm_entidade
FROM escola e
JOIN municipio mu ON ST_Contains(mu.geometry, e.geometry)
WHERE mu.nm_mun = 'Rio de Janeiro'
  AND ST_DWithin(e.geometry::geography, ST_Centroid(mu.geometry)::geography, 15000);",1
F0010,Quais escolas de Recife estão a até 15 km do centro do município?,Fácil,"SELECT e.nm_entidade
FROM escola e
JOIN municipio mu ON ST_Contains(mu.geometry, e.geometry)
WHERE mu.nm_mun = 'Recife'
  AND ST_DWithin(e.geometry::geography, ST_Centroid(mu.geometry)::geography, 15000);",1
F0011,Quais escolas de Recife estão a até 3 km do centro do município?,Fácil,"SELECT e.nm_entidade
FROM escola e
JOIN municipio mu ON ST_Contains(mu.geometry, e.geometry)
WHERE mu.nm_mun = 'Recife'
  AND ST_DWithin(e.geometry::geography, ST_Centroid(mu.geometry)::geography, 3000);",1
F0012,Quais escolas de Rio de Janeiro estão a até 12 km do centro do município?,Fácil,"SELECT e.nm_entidade
FROM escola e
JOIN municipio mu ON ST_Contains(mu.geometry, e.geometry)
WHERE mu.nm_mun = 'Rio de Janeiro'
  AND ST_DWithin(e.geometry::geography, ST_Centroid(mu.geometry)::geography, 12000);",1
F0013,Quais escolas de Maceió estão a até 15 km do centro do município?,Fácil,"SELECT e.nm_entidade
FROM escola e
JOIN municipio mu ON ST_Contains(mu.geometry, e.geometry)
WHERE mu.nm_mun = 'Maceió'
  AND ST_DWithin(e.geometry::geography, ST_Centroid(mu.geometry)::geography, 15000);",1
F0014,Quais escolas de Uberlândia estão a até 3 km do centro do município?,Fácil,"SELECT e.nm_entidade
FROM escola e
JOIN municipio mu ON ST_Contains(mu.geometry, e.geometry)
WHERE mu.nm_mun = 'Uberlândia'
  AND ST_DWithin(e.geometry::geography, ST_Centroid(mu.geometry)::geography, 3000);",1
F0015,Liste as escolas mais próximas do centro de São Paulo com a distância em metros (as 40 primeiras).,Fácil,"SELECT e.nm_entidade,
       ROUND(ST_Distance(e.geometry::geography, ST_SetSRID(ST_MakePoint(-46.6288, -23.5403), 4674)::geography)::numeric, 2) AS dist_m
FROM escola e
JOIN microdados_ed_basica md ON e.cd_entidade = md.cd_entidade
ORDER BY dist_m ASC
LIMIT 40;",1
F0016,Liste as escolas mais próximas do centro de Natal com a distância em metros (as 20 primeiras).,Fácil,"SELECT e.nm_entidade,
       ROUND(ST_Distance(e.geometry::geography, ST_SetSRID(ST_MakePoint(-35.2018, -5.8049), 4674)::geography)::numeric, 2) AS dist_m
FROM escola e
JOIN microdados_ed_basica md ON e.cd_entidade = md.cd_entidade
ORDER BY dist_m ASC
LIMIT 20;",1
F0017,Liste as escolas mais próximas do centro de Recife com a distância em metros (as 30 primeiras).,Fácil,"SELECT e.nm_entidade,
       ROUND(ST_Distance(e.geometry::geography, ST_SetSRID(ST_MakePoint(-34.8935, -8.0359), 4674)::geography)::numeric, 2) AS dist_m
FROM escola e
JOIN microdados_ed_basica md ON e.cd_entidade = md.cd_entidade
ORDER BY dist_m ASC
LIMIT 30;",1
F0018,"Quais as 40 escolas mais próximas da coordenada central de Goiânia, com a distância em metros?",Fácil,"SELECT e.nm_entidade,
       ROUND(ST_Distance(e.geometry::geography, ST_SetSRID(ST_MakePoint(-49.2402, -16.7088), 4674)::geography)::numeric, 2) AS dist_m
FROM escola e
JOIN microdados_ed_basica md ON e.cd_entidade = md.cd_entidade
ORDER BY dist_m ASC
LIMIT 40;",1
F0019,"Quais as 20 escolas mais próximas da coordenada central de Palmas, com a distância em metros?",Fácil,"SELECT e.nm_entidade,
       ROUND(ST_Distance(e.geometry::geography, ST_SetSRID(ST_MakePoint(-48.3237, -10.1982), 4674)::geography)::numeric, 2) AS dist_m
FROM escola e
JOIN microdados_ed_basica md ON e.cd_entidade = md.cd_entidade
ORDER BY dist_m ASC
LIMIT 20;",1
F0020,"Quais as 20 escolas mais próximas da coordenada central de Manaus, com a distância em metros?",Fácil,"SELECT e.nm_entidade,
       ROUND(ST_Distance(e.geometry::geography, ST_SetSRID(ST_MakePoint(-60.0364, -3.0986), 4674)::geography)::numeric, 2) AS dist_m
FROM escola e
JOIN microdados_ed_basica md ON e.cd_entidade = md.cd_entidade
ORDER BY dist_m ASC
LIMIT 20;",1
F0021,Liste as escolas mais próximas do centro de Contagem com a distância em metros (as 50 primeiras).,Fácil,"SELECT e.nm_entidade,
       ROUND(ST_Distance(e.geometry::geography, ST_SetSRID(ST_MakePoint(-44.0682, -19.9475), 4674)::geography)::numeric, 2) AS dist_m
FROM escola e
JOIN microdados_ed_basica md ON e.cd_entidade = md.cd_entidade
ORDER BY dist_m ASC
LIMIT 50;",1
F0022,"Quais as 50 escolas mais próximas da coordenada central de Fortaleza, com a distância em metros?",Fácil,"SELECT e.nm_entidade,
       ROUND(ST_Distance(e.geometry::geography, ST_SetSRID(ST_MakePoint(-38.5531, -3.7243), 4674)::geography)::numeric, 2) AS dist_m
FROM escola e
JOIN microdados_ed_basica md ON e.cd_entidade = md.cd_entidade
ORDER BY dist_m ASC
LIMIT 50;",1
F0023,Liste as escolas mais próximas do centro de Campo Grande com a distância em metros (as 40 primeiras).,Fácil,"SELECT e.nm_entidade,
       ROUND(ST_Distance(e.geometry::geography, ST_SetSRID(ST_MakePoint(-54.6361, -20.4595), 4674)::geography)::numeric, 2) AS dist_m
FROM escola e
JOIN microdados_ed_basica md ON e.cd_entidade = md.cd_entidade
ORDER BY dist_m ASC
LIMIT 40;",1
F0024,Liste as escolas mais próximas do centro de Manaus com a distância em metros (as 50 primeiras).,Fácil,"SELECT e.nm_entidade,
       ROUND(ST_Distance(e.geometry::geography, ST_SetSRID(ST_MakePoint(-60.0323, -3.1103), 4674)::geography)::numeric, 2) AS dist_m
FROM escola e
JOIN microdados_ed_basica md ON e.cd_entidade = md.cd_entidade
ORDER BY dist_m ASC
LIMIT 50;",1
F0025,Liste as escolas mais próximas do centro de Aracaju com a distância em metros (as 40 primeiras).,Fácil,"SELECT e.nm_entidade,
       ROUND(ST_Distance(e.geometry::geography, ST_SetSRID(ST_MakePoint(-37.0577, -10.9205), 4674)::geography)::numeric, 2) AS dist_m
FROM escola e
JOIN microdados_ed_basica md ON e.cd_entidade = md.cd_entidade
ORDER BY dist_m ASC
LIMIT 40;",1
